candle_24h,nb,V,V_EUR,Pmin,PQ1,Pmed,PQ3,Pmax,P_open,P_close,return
16534,2027,2644.487380140003,0.0,222.0,225.47,227.14,227.98,229.55649,227.38998,228.23,0.0036941821271104813
16535,2357,2475.5690447099946,0.0,220.01092000000003,222.9,223.98,225.06,228.67,228.01,223.99,-0.01763080566641806
16536,860,1297.4550788499978,0.0,221.0,222.22,223.02000500000003,224.1242325,226.0,222.98923,223.83894,0.0038105427782318796
16537,995,1054.7424315700002,0.0,220.2,223.045,223.35,223.741175,224.91096,223.42998,223.10946,-0.0014345433858068614
16538,3081,3058.320457929981,0.0,210.0,214.6909,222.21,222.99,224.8,222.72,213.72614,-0.04038191451149431
16539,3509,3803.857104340013,0.0,204.0,206.47199,210.0,211.6404,214.6793,213.74,206.79,-0.03251614110601673
16540,2384,3061.9898531500016,0.0,206.18,208.78406,209.97,210.98631,214.13386,206.65674,209.8,0.01521005315384355
16541,2677,2087.9740126799825,0.0,209.6436,211.41,212.21362,213.0,214.987,209.92,213.36372000000003,0.016404916158536786
16542,2325,1695.9953866099845,0.0,206.48191,208.38,208.93,209.7,213.15035,213.04035,208.05,-0.023424435793500988
16543,1149,994.7687503199992,0.0,205.8599,207.02356,207.59999,208.83194,210.13905,208.27,207.22589,-0.0050132520286167844
16544,1156,792.2559624299962,0.0,206.4758,207.8333925,209.90835,210.5,211.25,207.83591,206.8546,-0.00472156135097158
16545,4917,2875.4117304499737,0.0,206.3,208.7,208.99,209.95002,211.45871,206.9246,208.73084,0.00872897664173328
16546,4861,3348.357436990029,0.0,208.39,209.55,210.01013,210.7013,220.0,208.736,219.14,0.04984286371301547
16547,3887,2966.605361530042,0.0,215.79,217.2309,218.05977,219.0,220.9999,219.18,218.0,-0.005383702892599721
16548,3441,2662.1303256199994,0.0,213.69732,216.5,217.34189,218.02,219.53726,217.96,216.25394,-0.007827399522848265
16549,2030,2193.2465108100077,0.0,211.04603,212.461685,212.96999,213.7515675,217.0,216.2237,212.68217,-0.016379009331539487
16550,1118,1354.2293506699996,0.0,207.1337,209.18,209.60001,209.99,213.9673,212.56056,207.14,-0.025501250090797758
16551,2135,2807.3547363199823,0.0,198.78972,201.08811,202.0,202.541725,208.45396,208.28,203.799,-0.02151430766276164
16552,1726,3259.0673885400042,0.0,201.67,204.34925,206.38,208.2331675,215.28166,203.77,210.56998,0.033370859302154283
16553,1515,2188.4957027099854,0.0,203.92313,205.76508,206.47968,207.5,210.61242,209.4,206.35,-0.0145654250238778
16554,1570,2319.809794099993,0.0,202.0,204.01,204.5,205.0,207.12,205.43002,204.18996,-0.006036410841998513
16555,2271,3778.64620849,0.0,202.82588,208.94002,209.92523,210.77654,214.0,204.12984,210.70193,0.032195635875675865
16556,1062,1389.0541618099978,0.0,206.8,208.7848125,209.49636,210.23174249999997,213.0546,210.39535,207.0573,-0.015865607295978783
16557,709,878.6549691100009,0.0,206.85024,208.60344,209.73291,210.31,210.9999,206.85024,209.52,0.012906729042228934
16558,1531,1807.9699532399952,0.0,208.68021,213.34956,214.5,215.39,216.77454,209.52,213.61,0.01952080946926309
16559,1526,2230.3886430899893,0.0,210.21,212.864995,213.6,215.0,216.9999,213.4149,212.86,-0.002600099618161502
16560,2594,3590.0278268900065,0.0,208.0,209.8,210.26994,210.77911749999998,213.95,213.14,210.45,-0.012620812611429095
16561,2618,3235.7995268899913,0.0,202.0,207.17,208.0,209.0,210.89998,210.0,204.0,-0.028571428571428567
