candle_24h,nb,V,V_EUR,Pmin,PQ1,Pmed,PQ3,Pmax,P_open,P_close,return
16790,641,59448.56321593997,48952.210959129574,0.82,0.82,0.82529,0.82529,0.8345,0.8222,0.82,-0.0026757479931891147
16791,125,22611.14656479001,18241.91677307965,0.792,0.8,0.8109999999999999,0.81101,0.83449,0.81389,0.792,-0.026895526422489484
16792,93,9285.30531544,7262.840675556416,0.7700100000000001,0.7782100000000001,0.78479,0.79268,0.80061,0.78,0.778,-0.0025641025641025663
16793,155,13578.30360424,10707.441398520898,0.775,0.7854800000000001,0.7923600000000001,0.7923600000000001,0.80067,0.778,0.7854800000000001,0.009614395886889514
16794,275,25360.06403504001,21270.80831327772,0.78012,0.785,0.7854300000000001,0.7924,0.88999,0.7993399999999999,0.79001,-0.011672129506843085
16795,269,30394.46092691002,23834.798306852867,0.77605,0.78,0.782,0.78995,0.8143100000000001,0.79,0.78963,-0.0004683544303797233
16796,38,3720.15447805,2897.3788788350453,0.7700100000000001,0.7734449999999999,0.7761,0.7798324999999999,0.7885800000000001,0.78665,0.7885800000000001,0.002453441810207969
16797,133,21128.56111934,16473.260872408886,0.7610100000000001,0.77,0.78001,0.78337,0.7999,0.78875,0.77159,-0.021755942947702
16798,137,15798.722952849996,12193.109775403767,0.7610100000000001,0.76302,0.77178,0.7815,0.80698,0.76756,0.7985800000000001,0.04041377872739597
16799,272,31479.655765410014,26149.783768170062,0.78895,0.81,0.82,0.8452200000000001,0.889,0.78895,0.84691,0.07346473160529819
16800,161,14958.921668589983,13067.870302043215,0.83175,0.8664,0.8799899999999999,0.88,0.8829899999999999,0.83175,0.8540000000000001,0.026750826570484044
16801,77,8333.624941779997,7133.823557332182,0.8525,0.85483,0.85483,0.8585,0.8723,0.8535299999999999,0.85251,-0.0011950370812975645
16802,88,6400.345898299997,5593.230867540931,0.856,0.87,0.8764,0.8764,0.8849899999999999,0.86362,0.856,-0.008823325073527791
16803,180,13260.067338589995,11791.194868409651,0.856,0.8844525,0.89,0.8920625,0.9,0.85601,0.8842200000000001,0.0329552224857187
16804,216,34710.95487411,30478.73579964378,0.85,0.8699,0.87054,0.88,0.89833,0.88671,0.875,-0.013206121505339962
16805,157,15209.611861619998,13454.510106881731,0.85408,0.8849899999999999,0.885,0.888,0.89,0.885,0.885,0.0
16806,110,14590.848740479998,12909.682082615149,0.8696299999999999,0.8800100000000001,0.885,0.885,0.89,0.885,0.89,0.005649717514124299
16807,518,53844.594685899945,47847.876261232734,0.86865,0.8872325000000001,0.89,0.89,0.8983700000000001,0.89,0.8688,-0.02382022471910112
16808,397,36874.03447748003,33009.41679889948,0.8673200000000001,0.8969600000000001,0.8983899999999999,0.8989,0.90562,0.8688600000000001,0.90552,0.042193218700365895
16809,258,23985.40131276002,21660.39437105077,0.8803,0.89441,0.9078,0.9090775,0.911,0.90625,0.90792,0.0018427586206895992
16810,231,22403.323734159985,20383.687950078696,0.8940799999999999,0.91,0.91,0.9132,0.919,0.911,0.919,0.008781558726673992
16811,838,78907.60999489998,74627.43201035247,0.91579,0.94,0.94839,0.95,0.98,0.919,0.9799,0.06626768226332966
16812,1417,133066.86216286995,145545.03235968642,0.96547,1.05,1.07651,1.15,1.19,0.9799,1.0699299999999998,0.0918767221145013
16813,566,49605.32793452998,50533.21125933365,0.9922,1.001,1.016965,1.04129,1.06885,1.06,1.03501,-0.02357547169811327
16814,279,27046.439718110025,28699.743613875016,1.01828,1.04,1.05897,1.07,1.1,1.03148,1.1,0.06642882072362058
16815,1696,191504.7605883499,224917.7355654819,1.01,1.13,1.16721,1.18164,1.3,1.1,1.111,0.009999999999999908
16816,824,88960.24567199,103838.98210144619,1.08797,1.14115,1.16899,1.179,1.23198,1.111,1.13436,0.02102610261026107
16817,424,27771.387144730008,32455.355225599244,1.113,1.15468,1.18,1.18,1.22,1.12174,1.21999,0.0875871414053167
16818,1678,149572.69949980994,197491.93176640695,1.19,1.283,1.300965,1.36,1.42557,1.2199799999999998,1.30165,0.06694372038885894
16819,881,76819.45163736977,96605.77308628481,1.2,1.22276,1.25752,1.28673,1.34216,1.31588,1.27035,-0.034600419491138894
